acc_id,mechanical,op_error,employee
918927,,,
914934,,,
914955,TRUE,,TRUE
916557,,,
916593,,,
916872,,,
917345,,,
918284,,,
918395,,,
918822,,,
920069,,,
914928,TRUE,,
914959,,,
914962,TRUE,,
916572,,,
917850,,,
917978,,,
918257,,,
920168,,,
920190,,,
915975,TRUE,,
916358,,TRUE,
916597,,,
916753,,,
918823,,,
918852,,,
920002,,,
920073,,,
914960,TRUE,,
916354,,,
916355,,,
916356,,,
916357,,,
916901,,,
917078,,,
917152,TRUE,,
919348,,,
919595,,,
919603,,,
919980,,,
914936,,,
914953,,,
914954,,,
914977,,,
917904,,,
918334,,,
914949,,,
914978,,,
916352,TRUE,,
916353,,,
917077,,,
918035,,,
918267,,,
918268,,,
918887,,,
918888,,,
918936,,,
914942,,,
914948,,,
914952,,,
914957,TRUE,,
914958,TRUE,,
916743,TRUE,,
917533,,,
917568,,,
918261,,,
918335,,,
919356,,,
920052,,,
915933,,,
919739,,,
914932,TRUE,,
914946,TRUE,,
916350,,,
916351,,,
916899,,,
916900,,,
917075,,,
917076,,,
918258,,,
919355,,,
919816,,,
915927,,,
916349,,,
916870,,,
917074,,,
918295,,,
918336,,,
918674,,,
919852,,,
914939,,,
916014,,,
916759,,,
918290,,,
918643,,,
920295,,,
914935,,,
914961,,,
915983,,,
916347,,,
916348,,,
916549,,,
917072,,,
917073,,,
917405,,,
920057,,,
914943,,,
914956,TRUE,,
915991,,,
916345,,,
916346,,,
919354,TRUE,,
919810,,,
920056,,,
920283,,,
912476,,,
914940,TRUE,,
914944,,,
914976,,,
916344,,,
917071,,,
917979,,,
919790,,,
916343,,,
916560,,,
916721,TRUE,,
917070,,,
918562,,,
919527,,,
919866,,,
919981,,,
915980,,,
915981,,,
915982,,,
916341,,,
916342,,,
916548,,,
916580,,,
916859,,,
917068,,,
917069,,,
918209,TRUE,,
918512,,,
918922,,,
919347,,,
919997,,,
912591,TRUE,,
914915,,,
914925,,,
915973,,,
915979,,,
916541,,,
917067,,,
919789,,,
920297,,,
914965,,,
916898,,,
917153,,,
918475,,,
918566,,,
919750,,,
916340,,,
917066,,,
918241,,,
920173,,,
920181,,,
914894,,,
914975,,,
915977,TRUE,,
916338,,,
916339,,,
917065,,TRUE,
917203,,,
917645,,,
919345,,,
919346,,,
919827,,,
920144,,,
914912,,,
914913,,,
914914,,,
914927,,,
916337,,,
916574,,,
917021,,TRUE,
917064,,,
917243,,,
917897,,,
917898,,,
914897,TRUE,,
914918,,,
914964,TRUE,,
916897,,,
917063,,,
918205,,,
918362,,,
919844,,,
914917,,,
914919,,,
915908,,,
916007,,,
916336,,,
916896,,,
917734,,,
918303,,,
919475,,,
919594,,,
919823,,,
919828,,,
919988,,,
919996,,,
920064,,,
920167,,,
914899,TRUE,,
914921,,,
916334,,,
916335,,,
916589,,,
916895,,,
917241,,,
917329,,,
918859,,,
919782,,,
912595,,,
914923,,,
916333,,,
918195,,,
918914,,,
918925,,,
919995,,,
920180,,,
912475,,,
914924,,,
916330,,,
916331,,,
916332,,,
916544,,,
917607,,,
917761,,,
918135,,,
918251,,,
920009,,,
912590,,,
915974,TRUE,,
918304,,,
918598,,,
920166,,,
912474,,,
914896,,,
914905,TRUE,,
914920,TRUE,,
914941,,,
916326,,,
916327,,,
916328,,,
916329,,,
916576,,,
918040,,,
918338,,,
918694,,,
919187,,,
919597,,,
914886,,,
914893,TRUE,,
914895,,,
914904,TRUE,,
916325,,,
916545,,,
916720,,,
917643,,,
919928,,,
912473,,,
914901,,,
914933,,,
916323,,,
916324,,,
916893,,,
916894,,,
917062,,,
917845,,,
916579,,,
916594,,,
916718,TRUE,,
917993,,,
918642,,,
919411,,,
920176,,,
914885,,,
916322,,,
918891,,,
920282,,,
914863,,,
916321,,,
916892,,,
917061,,,
918124,,,
918597,,,
918774,,,
919740,,,
920179,,,
914864,TRUE,,
914881,,,
916826,,,
917060,,,
917532,,,
916320,,,
917059,,,
918695,,,
912443,,,
914883,TRUE,,
914891,,,
916319,,,
916577,,,
916578,,,
916596,,,
918197,,,
918654,,,
920041,,,
920291,,,
914878,,,
914879,TRUE,,
914884,TRUE,,
914892,,,
914903,,,
914937,,,
916315,,,
916316,,,
916317,,,
